date,close,open,high,low,volumn
20170802,68000,67900,68200,66600,4161592
20170801,65500,65300,66500,64700,3744523
20170731,66000,63700,66000,63700,4769724
20170728,64600,67800,67900,64200,8093780
20170727,68400,66800,69500,66800,6177375
20170726,66800,69600,69900,66700,9659618
20170725,70400,72900,73000,70100,6028435
20170724,73000,71300,73000,71000,3598173
20170721,71200,70800,71300,70300,1599111
20170720,71300,71400,71700,70800,1647153
20170719,71000,71200,71200,70000,2009799
20170718,70800,70700,71800,70600,2066194
20170717,71200,71800,71900,70200,2804598
20170714,71100,71400,72200,70700,2931832
20170713,70600,69500,71900,69200,5432312
20170712,68900,68700,69500,68400,3462150
20170711,69000,67400,69000,66900,3187332
20170710,67300,67000,67500,65700,2667048
20170707,66600,67600,68400,66100,3242213
20170706,68100,69000,69400,67500,4048922
20170705,68000,65600,68200,65300,4557456
20170704,65800,65900,67100,65300,2895782
20170703,66300,66500,66900,65500,3763473
20170630,67400,67400,67800,67000,3230282
20170629,68500,67900,68800,67100,3702501
20170628,67200,68100,69200,66800,5520578
20170627,69200,68200,69600,67000,4951341
20170626,67500,65000,67500,65000,3516630
20170623,65000,64500,65400,63500,3189590
20170622,65000,66500,66500,64500,4977159
20170621,64800,63300,66300,62900,5650669
20170620,64000,64700,65400,63700,6519471
20170619,62800,61300,63200,61300,5315543
20170616,60500,61100,61600,59900,3932203
20170615,60600,59300,61000,59300,4549233
20170614,59300,59200,60000,58800,4441904
20170613,58800,57700,58900,56900,3431811
20170612,57500,57200,57900,56800,2650404
20170609,58300,56700,58400,56500,4799560
20170608,56700,56500,57000,56200,3943311
20170607,56500,55900,56900,55400,3040030
20170605,56100,57200,57200,55900,2525078
20170602,57100,56900,57500,56400,2481215
20170601,56400,56700,56900,56100,2006611
20170531,57000,57400,57900,56500,3314659
20170530,57400,58200,58400,56600,2368225
20170529,57900,57700,58800,57100,3294700
20170526,57100,56000,57100,56000,3145737
20170525,55800,56400,56400,55400,1996135
20170524,55800,55700,56500,55600,2324952
20170523,55100,56400,56500,55000,2410542
20170522,56000,54900,56000,54800,2544180
20170519,54200,55100,55600,54200,2860160
20170518,55700,53600,55700,53400,3494997
20170517,54700,55400,55700,54400,2485465
20170516,55300,56200,56800,55200,2546047
20170515,55600,55300,56100,55300,1542366
20170512,55300,56400,56400,55100,2303244
20170511,56400,56000,56400,54800,3509393
20170510,55600,57400,58100,55200,4766870
20170508,56900,56000,57000,55700,3818771
20170504,55900,55900,55900,55000,2780438
20170502,55400,55300,55900,54800,4347745
20170428,54000,53600,54700,53400,3573387
20170427,53600,53800,53900,52700,2743963
20170426,53700,53100,54200,53000,5609007
20170425,52400,52800,52800,51300,5312931
20170424,52400,52700,53200,52100,3158545
20170421,52000,51800,52500,51300,3834454
20170420,51400,49750,51700,49700,3573280
20170419,49850,50300,50400,49850,1587172
20170418,50200,49600,50400,49300,1899560
20170417,49200,50200,50300,49100,2002100
20170414,49800,49750,50700,49450,2845128
20170413,49750,49100,50200,48650,2367158
20170412,49000,48800,49200,48550,1694663
20170411,48850,48550,49350,48400,2384127
20170410,49000,49700,49750,48950,1824895
20170407,49800,49450,49800,48700,2645476
20170406,49400,50300,50500,49100,2991825
20170405,50300,50600,51000,49950,2758658
20170404,51000,52100,52200,50800,2192884
20170403,51800,50800,51900,50700,2361892
20170331,50500,50800,50800,49900,2682196
20170330,50900,51100,51500,50200,2204243
20170329,51300,51000,52200,50800,4154277
20170328,50800,51200,51300,50000,2862493
20170327,50700,50000,51100,49950,5607032
20170324,49500,50000,50200,49300,5174622
20170323,48450,48950,49300,48150,2473925
20170322,48650,47000,48800,47000,4157526
20170321,47550,47900,48250,47000,3720816
20170320,47600,46950,47650,46550,3929405
20170317,46750,48400,48400,46600,8098258
20170316,49150,49350,49650,48500,3458839
20170315,48800,49350,49500,48550,4688787
20170314,50300,51800,51900,50300,4024138
20170313,51000,49550,51100,49300,4948062
20170310,49200,48100,49550,47500,3849912
20170309,48000,48200,48850,48000,2957372
20170308,48000,48800,49300,47900,3728263
20170307,48800,49100,49300,48050,3439908
20170306,49350,47600,49400,47550,5045970
20170303,47100,47650,48250,46700,3937032
20170302,47700,46850,47850,46800,7093071
20170228,46700,46600,47600,46200,5588155
20170227,46000,46850,47000,45650,7604699
20170224,47500,49850,50000,47400,7707747
20170223,50200,50000,50400,49050,3374139
20170222,50600,51600,51700,50600,2678429
20170221,50900,49950,51000,49350,2227708
20170220,49900,50900,51000,49600,2265276
20170217,50400,50400,51100,50200,4927937
20170216,49600,48350,49600,48200,4840918
20170215,47900,48300,48700,47550,8725221
20170214,48450,51100,51600,48100,8593878
20170213,50700,49550,51000,49500,4124290
20170210,50000,52000,52200,50000,9120878
20170209,52700,53100,53700,52500,6547266
20170208,54600,53700,54600,52400,3552260
20170207,53300,53800,54500,53100,2405891
20170206,53700,54200,54400,53300,1897002
20170203,53700,52500,53700,51800,3718619
20170202,52800,53500,54000,52700,3486140
20170201,54000,54300,54900,53700,2813046
20170131,53700,53300,54500,52700,4118790
20170126,53300,52500,53500,52400,4517114
20170125,51700,52200,52500,51600,2715809
20170124,51600,51300,52000,51100,3449130
20170123,50800,49950,51000,49900,4148659
20170120,49150,49700,50100,49150,1943195
20170119,49600,49550,50100,49100,2332268
20170118,48850,48950,49400,48300,2974091
20170117,49300,49300,50200,49250,2309955
20170116,49300,50100,50300,48800,4974924
20170113,50300,49850,50700,49850,4219771
20170112,50600,51600,51600,50400,5060622
20170111,51600,50000,51900,50000,4360058
20170110,49750,49850,50200,49200,2561968
20170109,49550,48500,49750,48200,3871999
20170106,48000,47700,48450,47600,3166843
20170105,46950,47000,47500,46850,2377163
20170104,46500,47000,47150,46200,2722599
20170103,47250,46200,47300,46200,2655477
20170102,45800,44750,46000,44600,1547681
20161229,44700,45150,45200,44600,1808856
20161228,45350,45350,45750,45100,1296254
20161227,45650,45550,45950,45400,1175619
20161226,45650,46200,46600,45250,1603230
20161223,46300,46200,46400,45950,2982024
20161222,45500,46000,46650,45150,4045912
20161221,45000,45500,45750,45000,1662010
20161220,45150,45400,45550,44950,1110753
20161219,45150,46250,46300,45050,1997194
20161216,46400,45800,46450,45700,2100809
20161215,45600,45850,46050,45000,1828843
20161214,45850,45350,46100,45350,2010708
20161213,44950,44700,45700,44700,1822952
20161212,45300,45750,45850,44850,1440589
20161209,45500,46450,46750,45450,3003326
20161208,46250,46200,46650,46100,3313157
20161207,45250,45750,45800,45200,1984369
20161206,45200,44700,45500,44600,3099065
20161205,44400,44050,44600,43800,1703219
20161202,44400,43350,44500,43300,4244113
20161201,44200,43000,44400,43000,3491185
20161130,42900,42900,43800,42650,4325524
20161129,42400,42400,43100,41800,1777480
20161128,42600,42400,43250,42100,1513215
20161125,42600,43050,43300,42250,1328958
20161124,42650,43350,43850,42500,1789745
20161123,43050,43000,43900,42550,4047443
20161122,42700,41250,42800,41200,3306186
20161121,40750,41800,41900,40650,1883627
20161118,42000,42300,42400,41700,3331134
20161117,41900,41500,41900,41200,2383464
20161116,40850,40450,41000,40250,2101878
20161115,39700,39700,40400,39500,2030086
20161114,39700,40000,40450,39700,1589911
20161111,39850,40000,40450,39550,2962651
20161110,41000,41000,41050,40500,2520434
20161109,39650,41650,41750,38700,5779291
20161108,41500,42100,42150,41250,1882987
20161107,41500,41800,42050,41200,2033220
20161104,41200,41150,41400,40850,2600930
20161103,41150,40900,41700,40700,2580396
20161102,41000,41250,41400,40450,2822651
20161101,42000,41700,42350,41600,3173446
20161031,41000,42500,42900,41000,3297943
20161028,42450,42700,42950,42100,2251179
20161027,43000,42900,43600,42600,4814197
20161026,42900,41300,42900,41300,6364037
20161025,41050,40350,41650,40200,4469224
20161024,40150,41000,41150,39850,2211109
20161021,40950,39500,41000,39500,2436212
20161020,40050,40250,40300,38850,5423960
20161019,40050,41150,41450,39850,5033246
20161018,41650,42200,42300,41300,2559222
20161017,42300,41750,42300,41400,2314725
20161014,41550,41300,41900,41200,2708972
